s1	144122	144322
s1	279941	280241
s1	306909	307209
s1	329731	329931
s1	339390	339490
s1	427642	427942
s1	489085	489385
s1	1224353	1224553
s1	1606574	1606674
s1	1650383	1650483
s1	1684537	1684737
s1	1768324	1768424
s1	2111576	2111876
s1	2207938	2208038
s10	149441	149641
s10	201051	201351
s10	617179	617479
s10	1032435	1032535
s100	79757	79857
s100	85031	85131
s100	278545	278745
s101	82869	82969
s101	169244	169544
s102	78522	78822
s102	188047	188147
s104	430984	431284
s105	354196	354496
s106	300990	301290
s106	378714	378914
s107	5683	5883
s107	277367	277467
s108	166346	166646
s108	429952	430152
s109	51843	51943
s11	202065	202165
s11	379869	379969
s11	440467	440567
s11	953718	953818
s11	1154996	1155296
s111	62937	63237
s111	231651	231851
s111	246710	247010
s113	420860	421160
s115	33901	34001
s116	30321	30621
s116	426758	426958
s117	199238	199338
s119	51023	51223
s1197	83	183
s12	52125	52225
s12	121062	121262
s12	139916	140016
s12	192239	192539
s12	239943	240243
s12	282538	282638
s12	710552	710652
s12	804384	804484
s12	812249	812449
s12	865517	865617
s122	19236	19336
s123	233223	233423
s124	156820	156920
s125	162315	162515
s127	231888	232088
s13	745588	745688
s13	781321	781421
s130	222391	222591
s130	240682	240882
s131	358657	358757
s132	160385	160585
s132	199860	200160
s133	165528	165728
s134	248062	248162
s135	147983	148283
s13522	931	1131
s136	329589	329889
s1369	688	988
s137	317038	317238
s138	9051	9351
s138	356029	356229
s13895	2007	2207
s139	101992	102292
s139	194301	194501
s139	313753	313953
s14	36694	36894
s14	328982	329082
s14	517577	517777
s14	591567	591667
s14	658379	658679
s14	1170244	1170344
s140	100809	101109
s141	224731	224931
s142	29243	29343
s142	308737	309037
s143	2002	2202
s144	129078	129278
s144	250178	250278
s145	15676	15876
s145	22531	22831
s146	40162	40362
s146	224161	224361
s147	82309	82609
s148	145796	146096
s15	350918	351218
s15	709612	709812
s15	1202131	1202331
s150	216478	216578
s15050	1353	1653
s151	24797	25097
s152	363399	363699
s154	270281	270581
s156	265108	265408
s157	157424	157724
s157	198186	198286
s158	15797	16097
s158	137513	137813
s158	170952	171252
s158	185017	185117
s16	13856	13956
s16	32059	32259
s16	211409	211509
s16	372314	372414
s160	82337	82637
s160	242777	242977
s161	195154	195454
s165	28840	29040
s165	109391	109591
s166	198372	198572
s167	22432	22532
s167	205363	205663
s168	55847	56047
s168	102550	102850
s168	254171	254371
s17	169311	169611
s17	173792	174092
s17	339443	339543
s17	468926	469126
s17	1044841	1045141
s17	1202693	1202893
s170	30300	30600
s171	122283	122383
s173	205739	206039
s174	88372	88472
s177	212086	212386
s18	185736	186036
s18	213524	213824
s18	374412	374712
s18	824965	825165
s182	176968	177268
s184	64558	64758
s184	187506	187706
s185	95455	95755
s186	160266	160466
s189	255689	255889
s19	340999	341299
s19	351361	351661
s19	385429	385729
s19	778978	779178
s19	933873	934173
s19	1057476	1057676
s190	227247	227547
s192	164055	164255
s193	3301	3401
s194	24746	25046
s195	59047	59247
s195	67131	67231
s197	162531	162631
s1972	1951	2051
s199	39473	39773
s199	55313	55613
s199	124866	125166
s199	181748	181848
s1998	1567	1667
s2	18988	19288
s2	80064	80164
s2	85517	85617
s2	717095	717195
s2	1098396	1098496
s2	2196332	2196532
s20	353673	353973
s20	666900	667100
s20	700539	700639
s202	96093	96193
s202	108075	108375
s203	27969	28269
s206	112822	113122
s207	61176	61476
s208	77201	77301
s209	179650	179850
s21	112182	112482
s210	143916	144216
s212	15725	15825
s213	77629	77729
s214	81444	81644
s219	71271	71471
s219	81652	81852
s22	38888	38988
s22	52854	53154
s22	89056	89356
s221	119454	119654
s221	121428	121528
s221	152437	152737
s221	162032	162132
s223	200264	200364
s228	145699	145799
s23	26140	26340
s23	291873	292173
s23	329773	329973
s23	674651	674751
s23	968488	968688
s230	200258	200358
s2301	1652	1752
s231	33541	33641
s235	14822	14922
s24	630826	630926
s2422	636	736
s25	619083	619283
s25	775153	775453
s252	133520	133620
s256	50160	50260
s26	147723	147823
s26	163718	163918
s26	275950	276150
s26	660897	661197
s26	735826	735926
s26	762992	763192
s26	988472	988672
s262	106342	106442
s264	57502	57602
s265	14099	14199
s266	76899	77099
s266	128791	128991
s269	114356	114456
s27	214458	214758
s27	782392	782692
s270	8498	8598
s273	28040	28140
s273	76911	77111
s274	23700	24000
s28	433448	433648
s2874	1654	1854
s289	72841	73041
s29	744739	744839
s290	41183	41283
s290	122415	122715
s2907	1794	2094
s292	16678	16778
s296	52474	52674
s2968	1453	1553
s298	79461	79561
s3	233782	233982
s3	581761	582061
s3	613373	613673
s3	848923	849223
s3	855307	855507
s3	868773	868873
s3	1034412	1034612
s3	1578956	1579256
s3	1674906	1675106
s30	237599	237699
s30	497692	497992
s30	542554	542754
s302	80992	81292
s305	96159	96359
s307	31658	31758
s308	110828	110928
s309	114864	114964
s31	122596	122696
s31	201632	201932
s31	500708	501008
s31	680532	680832
s313	30626	30926
s313	50407	50707
s314	18761	18861
s316	5760	5860
s318	42012	42312
s3189	752	852
s319	7520	7720
