Gene ID	GO	KO	PFAM
SM000001S04409	GO:0004185 GO:0006508	K16297	PF00450
SM000001S04411	GO:0003824 GO:0003854 GO:0016616 GO:0006694		PF13460 PF01370 PF01073 PF05368
SM000001S04412	GO:0016491 GO:0051537 GO:0010277	K13600	PF00355 PF08417
SM000001S04413	GO:0003677		PF08755
SM000001S04418	GO:0008138 GO:0016311	K14165	PF09192 PF00782
SM000001S04420	GO:0004672 GO:0005524 GO:0006468	K20607	PF00069 PF07714
SM000001S04424	GO:0003700 GO:0006355	K09060	PF00170 PF07777 PF07716
SM000001S04426	GO:0008168	K00599	PF13649 PF08242 PF10294 PF13489 PF08241 PF13847 PF06325
SM000001S04429	GO:0008641	K22132	PF00899
SM000001S04430	GO:0004553 GO:0005975 GO:0003824	K01214	PF02922 PF00128
SM000001S04432	GO:0005524	K09493	PF00118
SM000001S04434	GO:0004525 GO:0006396	K11145	PF00636
SM000001S04436	GO:0003677 GO:0006275		PF00705 PF02747
SM000001S04439	GO:0016972	K17783	PF04777
SM000001S04443	GO:0005506 GO:0016705 GO:0020037		PF00067
SM000001S04447	GO:0016209 GO:0016491 GO:0051920		PF00578 PF08534 PF10417
SM000001S04448	GO:0044237	K00899	PF01008 PF01636
SM000001S04452	GO:0008270		PF02148
SM000001S04453	GO:0016021		PF05562
SM000001S04454	GO:0004489 GO:0006555	K00297	PF02219
SM000001S04455	GO:0003824		PF00481
SM000001S04456	GO:0004553 GO:0005975		PF00150
SM000001S04457	GO:0005524 GO:0016887 GO:0042626 GO:0055085 GO:0016021	K05674	PF00005 PF00664
SM000001S04458	GO:0016579 GO:0005515	K11843	PF00443 PF13423 PF00240
SM000001S04459	GO:0016757	K08098	PF03901
SM000001S04462	GO:0016788	K03424	PF01026
SM000001S04465	GO:0030599 GO:0042545	K01051	PF01095
SM000001S04466	GO:0007030		PF09787
SM000001S04467	GO:0003824 GO:0051536	K03644	PF04055 PF16881
SM000001S04468	GO:0003735 GO:0006412 GO:0005840		PF01777
SM000001S04472	GO:0008237 GO:0008270	K03128	PF01433 PF17900
SM000001S04473	GO:0003924 GO:0005525	K03243	PF00009 PF11987 PF03144 PF01926
SM000001S04475	GO:0005515	K21888	PF13417 PF13409 PF13410 PF02798
SM000001S04485	GO:0016226	K09015	PF01458
SM000001S04486	GO:0005524		PF00004 PF17862 PF13401
SM000001S04487	GO:0005515		PF13855
SM000001S04488	GO:0070569	K22920	PF01704
