Gene ID	GO	KOG	ENZYME
ostta01g00020	GO:0003824 GO:0008152 GO:0005524 GO:0006003	KOG0234	
ostta01g00040	GO:0004470 GO:0006108 GO:0016616 GO:0051287 GO:0004473	KOG1257	1.1.1.40
ostta01g00050	GO:0006814 GO:0006885 GO:0015385 GO:0016021 GO:0015299	KOG1965	
ostta01g00060	GO:0016787 GO:0008486	KOG2839	
ostta01g00070	GO:0005249 GO:0006813 GO:0008076 GO:0005216 GO:0006811 GO:0016020	KOG1420	
ostta01g00090	GO:0004748 GO:0005971 GO:0006260 GO:0005515	KOG1112	1.17.4.1
ostta01g00100	GO:0004527 GO:0005622 GO:0003676 GO:0004535	KOG1275	3.1.13.4
ostta01g00130	GO:0004364	KOG0406	2.5.1.18
ostta01g00140	GO:0008152 GO:0008967 GO:0008138 GO:0008330 GO:0008579 GO:0016312 GO:0017017 GO:0017161 GO:0019178 GO:0019198 GO:0030351 GO:0030352 GO:0043726 GO:0043812 GO:0043813	KOG2914	3.1.3.-
ostta01g00190	GO:0006457 GO:0051082 GO:0005524	KOG0019	
ostta01g00210	GO:0003735 GO:0005622 GO:0005840 GO:0006412	KOG4122	
ostta01g00240	GO:0003824 GO:0050660 GO:0016491	KOG1232	
ostta01g00250	GO:0008440	KOG1620	
ostta01g00260	GO:0031072	KOG0548	
ostta01g00270	GO:0006457 GO:0003755	KOG0552	5.2.1.8
ostta01g00280	GO:0006508 GO:0008235	KOG2775	3.4.11.18
ostta01g00320	GO:0003995 GO:0016627 GO:0008152 GO:0050660	KOG1469	
ostta01g00360	GO:0006508 GO:0008235	KOG2738	3.4.11.18
ostta01g00380	GO:0003723		
ostta01g00390	GO:0004632	KOG2728	6.3.2.5
ostta01g00410	GO:0006614 GO:0008312 GO:0048500	KOG3198	
ostta01g00440	GO:0005249 GO:0006813 GO:0008076 GO:0005216 GO:0006811 GO:0016020	KOG3713	
ostta01g00480	GO:0003676		
ostta01g00485	GO:0003735 GO:0005622 GO:0005840 GO:0006412	KOG0746	
ostta01g00520	GO:0005524 GO:0016887 GO:0000166 GO:0017111 GO:0006810 GO:0016021 GO:0042626 GO:0008559	KOG0056	3.6.3.44
ostta01g00540	GO:0016020		
ostta01g00560	GO:0003777 GO:0005875 GO:0007017	KOG3430	
ostta01g00570	GO:0004812 GO:0005524 GO:0006412	KOG2780	
ostta01g00580	GO:0006855 GO:0015238 GO:0015297 GO:0016020	KOG1347	
ostta01g00590	GO:0004032	KOG1577	1.1.1.21
ostta01g00610	GO:0006629 GO:0016788	KOG3035	
ostta01g00620	GO:0006799 GO:0008976 GO:0009358		2.7.4.1
ostta01g00630	GO:0005509	KOG2383	
ostta01g00650	GO:0000166 GO:0017111 GO:0005524	KOG0730	3.4.24.-
ostta01g00670	GO:0051920	KOG0190	
ostta01g00680	GO:0008318 GO:0004663	KOG0529	
ostta01g00690			
ostta01g00720	GO:0005524 GO:0000166 GO:0017111 GO:0004003 GO:0004004 GO:0008026 GO:0008094 GO:0008186 GO:0015462 GO:0016887 GO:0017116 GO:0042623 GO:0042624 GO:0042625 GO:0042626	KOG1051	3.6.1.3
ostta01g00730	GO:0003824	KOG2681	
ostta01g00740	GO:0016020 GO:0030001 GO:0046873	KOG2474	
ostta01g00760	GO:0005515 GO:0006508 GO:0008236		
ostta01g00780	GO:0004497 GO:0006725 GO:0008152 GO:0016491 GO:0018658	KOG2614	1.14.13.1
ostta01g00790	GO:0016491	KOG4232	1.14.19.-
ostta01g00800	GO:0008152 GO:0016491 GO:0004344 GO:0018446 GO:0018447 GO:0018448 GO:0018449 GO:0018450 GO:0042469 GO:0045703	KOG1205	1.1.-.-
ostta01g00810	GO:0005525 GO:0006614 GO:0008312 GO:0016020 GO:0000166 GO:0017111 GO:0048500	KOG0780	
