Gene ID	GO	KO	KOG	ENZYME	PANTHER	PFAM
MicpuC2.gw1.11.51.1	GO:0005524	K06027		3.6.4.6	PTHR23078 PTHR23078:SF3	PF07724 PF00004
MicpuC2.gw1.5.742.1	GO:0005975 GO:0004553			3.2.1.20	PTHR22762 PTHR22762:SF91	PF13802 PF01055
MicpuC2.gw1.17.214.1	GO:0000160			2.7.13.3	PTHR24423	PF02518 PF00072
MicpuC2.gw1.2.922.1	GO:0005515		KOG0296 KOG0294 KOG0286 KOG0645		PTHR22847	PF00400
MicpuC2.gw1.3.1022.1	GO:0006281 GO:0003904	K01669		4.1.99.3	PTHR10211 PTHR10211:SF0	PF00875 PF03441
MicpuC2.gw1.5.790.1	GO:0016020 GO:0015031				PTHR10906 PTHR10906:SF2	PF00344
MicpuC2.gw1.6.588.1	GO:0005524 GO:0003676	K13131	KOG0328	3.6.4.13	PTHR24031 PTHR24031:SF159	PF00271 PF00270
MicpuC2.gw1.7.572.1	GO:0003333	K03834			PTHR32195 PTHR32195:SF20	PF03222
MicpuC2.gw1.4.876.1	GO:0005524 GO:0003676	K16911	KOG0335	3.6.4.13	PTHR24031	PF00271 PF00270
MicpuC2.gw1.1.1213.1	GO:0004518 GO:0006281 GO:0006289 GO:0005634 GO:0004519 GO:0003697	K10846		3.1.16.1	PTHR11081 PTHR11081:SF1	PF00867
MicpuC2.gw1.13.421.1	GO:0008168			2.1.1.191	PTHR11061 PTHR11061:SF34	PF10672
MicpuC2.gw1.10.539.1	GO:0016491 GO:0008152		KOG0725	1.1.1.300	PTHR24320 PTHR24320:SF45	PF00106
MicpuC2.gw1.3.1082.1	GO:0055114 GO:0016616 GO:0006694 GO:0003854		KOG1429 KOG1371	5.1.3.2	PTHR10366 PTHR10366:SF466	PF01073
MicpuC2.gw1.4.896.1	GO:0055114 GO:0050660 GO:0017150 GO:0008033	K05544			PTHR11082 PTHR11082:SF8	PF01207
MicpuC2.gw1.15.403.1	GO:0003723 GO:0005525	K03595	KOG1423		PTHR11649 PTHR11649:SF3	PF07650 PF01926
MicpuC2.gw1.4.905.1	GO:0006468 GO:0004672	K08817		2.7.11.22	PTHR24056 PTHR24056:SF171	PF07714
MicpuC2.gw1.18.214.1	GO:0055114 GO:0008762 GO:0050660 GO:0016491			1.3.1.98	PTHR21071 PTHR21071:SF4	PF02873 PF01565
MicpuC2.gw1.12.493.1	GO:0019901 GO:0006355 GO:0000079 GO:0070985 GO:0016538 GO:0006351	K06634			PTHR10026 PTHR10026:SF8	PF16899 PF00134
MicpuC2.gw1.10.544.1	GO:0006508 GO:0004252			3.4.21.62	PTHR10795 PTHR10795:SF389	PF00082
MicpuC2.gw1.19.40.1	GO:0055114 GO:0016491			1.14.11.2		PF13640
MicpuC2.gw1.12.499.1	GO:0016020 GO:0009765				PTHR21649 PTHR21649:SF15	PF00504
MicpuC2.gw1.3.1123.1	GO:0007165 GO:0000155			2.7.13.3	PTHR24423	PF00512 PF02518
MicpuC2.gw1.6.623.1	GO:0016780 GO:0016020 GO:0008654	K00999	KOG3240	2.7.8.11	PTHR15362 PTHR15362:SF4	PF01066
MicpuC2.gw1.10.558.1	GO:0004045	K04794		3.1.1.29	PTHR12649	PF01981
MicpuC2.gw1.5.868.1	GO:0006412 GO:0005840 GO:0003735 GO:0015934	K02890			PTHR13501	PF00237
MicpuC2.gw1.14.375.1	GO:0009058 GO:0003824	K02201		2.7.7.3	PTHR10695	PF01467
MicpuC2.gw1.10.563.1	GO:0055114 GO:0046872 GO:0006801	K04565		1.15.1.1	PTHR10003	PF00080
MicpuC2.gw1.7.630.1	GO:0042254 GO:0001522 GO:0031429	K11128			PTHR23237	PF04410
MicpuC2.gw1.14.380.1	GO:0016852 GO:0009236			4.99.1.4	PTHR33542	PF01903
MicpuC2.gw1.8.619.1	GO:0003676	K12900			PTHR23147	PF00076
MicpuC2.gw1.8.624.1	GO:0030942 GO:0008312 GO:0006614 GO:0005786	K03104	KOG1761		PTHR12013	PF02290
MicpuC2.gw1.1.1357.1	GO:0008270				PTHR12999	PF00641
MicpuC2.gw1.7.652.1	GO:0008017 GO:0007018 GO:0005524 GO:0003777 GO:0005871			3.6.4.4	PTHR24115 PTHR24115:SF70	PF00225
fgenesh3_kg.1_#_64_#_isotig02896	GO:0005515					PF13181
fgenesh3_kg.1_#_93_#_isotig00308	GO:0006412 GO:0005840 GO:0005622 GO:0003735	K02924	KOG0002		PTHR19970	PF00832
fgenesh3_kg.2_#_182_#_isotig00787	GO:0016743 GO:0006520 GO:0016597	K00611	KOG1504	2.1.3.3	PTHR11405 PTHR11405:SF1	PF02729 PF00185
fgenesh3_kg.2_#_184_#_isotig00963	GO:0016020 GO:0009765	K08907			PTHR21649	PF00504
fgenesh3_kg.2_#_215_#_isotig00625	GO:0045263 GO:0015986 GO:0015078	K02109				PF00430
fgenesh3_kg.2_#_300_#_isotig00855	GO:0055114 GO:0051287 GO:0016620 GO:0046983 GO:0008652 GO:0005737 GO:0003942	K00133	KOG4777	1.2.1.11	PTHR10174 PTHR10174:SF2	PF01118 PF02774
MicpuC2.gw1.4.993.1	GO:0005096				PTHR23180 PTHR23180:SF284	PF01412
MicpuC2.gw1.1.1383.1	GO:0006412 GO:0005840 GO:0005622 GO:0003735				PTHR15893 PTHR15893:SF0	PF01016
fgenesh3_kg.2_#_328_#_isotig00846	GO:0016021 GO:0005783	K04710	KOG1607	2.3.1.24	PTHR12560	PF03798
fgenesh3_kg.2_#_333_#_isotig00691	GO:0008152 GO:0003824 GO:0016114 GO:0008661	K01662		2.2.1.7	PTHR11624 PTHR11624:SF83	PF02780 PF02779 PF13292
